iter	Passed	Remaining
559	1167	917
560	1168	914
561	1170	912
562	1172	909
563	1173	907
564	1175	904
565	1177	902
566	1179	900
567	1181	898
568	1182	895
569	1184	893
570	1185	890
571	1187	888
572	1190	886
573	1192	885
574	1194	883
575	1196	880
576	1197	877
577	1199	875
578	1201	873
579	1202	871
580	1204	868
581	1206	866
582	1208	864
583	1210	862
584	1211	859
585	1213	857
586	1214	854
587	1217	852
588	1219	850
589	1221	848
590	1224	847
591	1226	845
592	1227	842
593	1229	840
594	1231	838
595	1233	835
596	1236	834
597	1238	832
598	1240	830
599	1242	828
600	1244	825
601	1246	823
602	1248	821
603	1252	821
604	1255	819
605	1256	816
606	1258	814
607	1260	812
608	1262	810
609	1265	809
610	1267	806
611	1269	804
612	1270	802
613	1272	800
614	1274	797
615	1275	795
616	1281	795
617	1283	793
618	1286	791
619	1287	789
620	1290	787
621	1292	785
622	1296	784
623	1299	782
624	1300	780
625	1302	778
626	1303	775
627	1305	773
628	1306	770
629	1309	768
630	1311	766
631	1312	764
632	1314	762
633	1316	759
634	1317	757
635	1319	755
636	1325	755
637	1328	753
638	1330	751
639	1332	749
640	1334	747
641	1336	745
642	1338	743
643	1340	741
644	1342	738
645	1344	736
646	1345	734
647	1346	731
648	1348	729
649	1350	727
650	1352	724
651	1355	723
652	1358	721
653	1359	719
654	1360	716
655	1362	714
656	1364	712
657	1365	709
658	1368	708
659	1370	705
660	1372	703
661	1373	701
662	1375	698
663	1376	696
664	1378	694
665	1380	692
666	1382	690
667	1384	688
668	1386	685
669	1387	683
670	1389	681
671	1390	678
672	1392	676
673	1394	674
674	1397	672
675	1399	670
676	1401	668
677	1402	666
678	1404	663
679	1406	661
680	1409	660
681	1412	658
682	1414	656
683	1415	653
684	1417	651
685	1418	649
686	1420	647
687	1423	645
688	1426	643
689	1428	641
690	1430	639
691	1431	637
692	1433	634
693	1435	632
694	1437	630
695	1439	628
696	1441	626
697	1443	624
698	1444	622
699	1446	619
700	1448	617
701	1450	615
702	1451	613
703	1454	611
704	1457	609
705	1458	607
706	1460	605
707	1461	602
708	1463	600
709	1465	598
710	1467	596
711	1470	594
712	1472	592
713	1473	590
714	1475	588
715	1476	585
716	1478	583
717	1479	581
718	1482	579
719	1485	577
720	1487	575
721	1489	573
722	1490	571
723	1492	568
724	1493	566
725	1495	564
726	1497	562
727	1498	559
728	1500	557
729	1501	555
730	1503	553
731	1504	550
732	1506	548
733	1508	546
734	1509	544
735	1510	541
736	1512	539
737	1513	537
738	1515	535
739	1516	532
740	1517	530
741	1519	528
742	1520	525
743	1522	523
744	1523	521
745	1525	519
746	1526	517
747	1528	514
748	1529	512
749	1531	510
750	1532	508
751	1534	505
752	1535	503
753	1537	501
754	1539	499
755	1542	497
756	1544	495
757	1545	493
758	1546	491
759	1548	489
760	1549	486
761	1551	484
762	1553	482
763	1554	480
764	1557	478
765	1559	476
766	1561	474
767	1562	472
768	1564	469
769	1565	467
770	1567	465
771	1568	463
772	1572	461
773	1574	459
774	1577	457
775	1578	455
776	1580	453
777	1581	451
778	1583	449
779	1586	447
780	1588	445
781	1589	443
782	1590	440
783	1592	438
784	1593	436
785	1595	434
786	1597	432
787	1599	430
788	1601	428
789	1603	426
790	1604	423
791	1606	421
792	1607	419
793	1609	417
794	1611	415
795	1612	413
796	1613	411
797	1615	409
798	1617	406
799	1619	404
800	1620	402
801	1621	400
802	1623	398
803	1625	396
804	1627	394
805	1629	392
806	1630	389
807	1631	387
808	1633	385
809	1634	383
810	1636	381
811	1637	379
812	1638	376
813	1640	374
814	1642	372
815	1644	370
816	1646	368
817	1647	366
818	1648	364
819	1650	362
820	1651	360
821	1653	358
822	1654	355
823	1656	353
824	1658	351
825	1659	349
826	1661	347
827	1662	345
828	1663	343
829	1665	341
830	1666	338
831	1668	336
832	1669	334
833	1671	332
834	1673	330
835	1674	328
836	1675	326
837	1677	324
838	1678	322
839	1680	320
840	1681	317
841	1683	315
842	1684	313
843	1686	311
844	1688	309
845	1689	307
846	1690	305
847	1692	303
848	1693	301
849	1695	299
850	1696	297
851	1698	295
852	1700	293
853	1702	291
854	1704	289
855	1706	287
856	1708	285
857	1709	282
858	1711	280
859	1713	278
860	1715	277
861	1718	275
862	1719	272
863	1720	270
864	1722	268
865	1724	266
866	1725	264
867	1727	262
868	1729	260
869	1732	258
870	1733	256
871	1735	254
872	1736	252
873	1738	250
874	1739	248
875	1741	246
876	1743	244
877	1745	242
878	1747	240
879	1749	238
880	1750	236
881	1752	234
882	1754	232
883	1755	230
884	1757	228
885	1759	226
886	1761	224
887	1763	222
888	1765	220
889	1766	218
890	1768	216
891	1770	214
892	1771	212
893	1775	210
894	1776	208
895	1779	206
896	1780	204
897	1781	202
898	1783	200
899	1785	198
900	1787	196
901	1789	194
902	1791	192
903	1793	190
904	1795	188
905	1797	186
906	1799	184
907	1800	182
908	1802	180
909	1804	178
910	1806	176
911	1809	174
912	1810	172
913	1812	170
914	1813	168
915	1816	166
916	1819	164
917	1823	162
918	1824	160
919	1826	158
920	1828	156
921	1830	154
922	1833	152
923	1835	150
924	1838	149
925	1839	147
926	1841	144
927	1842	142
928	1844	140
929	1846	138
930	1847	136
931	1850	135
932	1852	133
933	1853	130
934	1855	128
935	1856	126
936	1858	124
937	1862	123
938	1864	121
939	1867	119
940	1869	117
941	1871	115
942	1872	113
943	1874	111
944	1876	109
945	1879	107
946	1881	105
947	1883	103
948	1885	101
949	1886	99
950	1889	97
951	1891	95
952	1894	93
953	1896	91
954	1897	89
955	1899	87
956	1900	85
957	1902	83
958	1904	81
959	1906	79
960	1909	77
961	1911	75
962	1913	73
963	1914	71
964	1916	69
965	1918	67
966	1921	65
967	1924	63
968	1926	61
969	1928	59
970	1931	57
971	1933	55
972	1935	53
973	1940	51
974	1943	49
975	1945	47
976	1947	45
977	1949	43
978	1952	41
979	1955	39
980	1957	37
981	1959	35
982	1960	33
983	1962	31
984	1964	29
985	1967	27
986	1969	25
987	1971	23
988	1972	21
989	1974	19
990	1976	17
991	1978	15
992	1981	13
993	1983	11
994	1984	9
995	1986	7
996	1987	5
997	1990	3
998	1993	1
999	1995	0
